NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn


14hl-16s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-16s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-1s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-1s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-2s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-2s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-3s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-3s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-4s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-4s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-5s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-5s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-6s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-6s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-7s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-7s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-8s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-8s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-9s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-9s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-10s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-10s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-11s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-11s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-12s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-12s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-13s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-13s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-14s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-14s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-15s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-15s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-16s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-16s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-1s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-1s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-2s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-2s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hlb-3s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hlb-3s.tsinghua.edu.cn. 60 IN A 220.250.64.225

