jwc.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

www.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

wfxy.cumtb.edu.cn. 3599 IN A 202.112.209.92

wfxy.cumtb.edu.cn. 3599 IN A 202.112.209.92

wlc.cumtb.edu.cn. 3600 IN A 202.112.209.92

www.cumtb.edu.cn. 2940 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

www.cumtb.edu.cn. 2939 IN A 202.112.209.92

xcb.cumtb.edu.cn. 3600 IN A 202.112.209.100

xcb.cumtb.edu.cn. 3599 IN A 202.112.209.100

xcb.cumtb.edu.cn. 3599 IN A 202.112.209.100

xcb.cumtb.edu.cn. 3599 IN A 202.112.209.100

xdjy.cumtb.edu.cn. 3600 IN A 202.112.209.92

xgc.cumtb.edu.cn. 3600 IN A 202.112.209.92

xgc.cumtb.edu.cn. 3599 IN A 202.112.209.92

xiaoyou.cumtb.edu.cn. 3600 IN A 202.112.209.92

xkb.cumtb.edu.cn. 3600 IN A 202.112.209.92

xljk.cumtb.edu.cn. 3600 IN A 118.228.224.22

xszz.cumtb.edu.cn. 3600 IN A 118.228.224.200

xxgk.cumtb.edu.cn. 3600 IN A 202.112.209.92

xyy.cumtb.edu.cn. 3600 IN A 202.112.209.92

xyyxxxt.cumtb.edu.cn. 3600 IN A 202.112.209.42

xyyxxxt.cumtb.edu.cn. 3599 IN A 202.112.209.42

yjs.cumtb.edu.cn. 3600 IN A 202.112.209.92

yjs.cumtb.edu.cn. 3599 IN A 202.112.209.92

