NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249

dm.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249

dm.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249

dm.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249

dm.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 29 IN A 202.195.147.249

dns.jiangnan.edu.cn. 164087 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns.jiangnan.edu.cn. 7199 IN A 202.195.144.130

dns1.jiangnan.edu.cn. 172800 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns1.jiangnan.edu.cn. 7199 IN A 202.195.144.134

dns2.jiangnan.edu.cn. 172800 IN A 202.195.145.130

dns2.jiangnan.edu.cn. 7199 IN A 202.195.145.130

dns2.jiangnan.edu.cn. 7199 IN A 202.195.145.130

dns2.jiangnan.edu.cn. 7199 IN A 202.195.145.130

dns2.jiangnan.edu.cn. 7199 IN A 202.195.145.130

dns3.jiangnan.edu.cn. 172800 IN A 202.195.145.134

dns3.jiangnan.edu.cn. 7199 IN A 202.195.145.134

dns3.jiangnan.edu.cn. 7199 IN A 202.195.145.134

dns3.jiangnan.edu.cn. 7199 IN A 202.195.145.134

dns3.jiangnan.edu.cn. 7199 IN A 202.195.145.134

dsh.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

duxue.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

duxue.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

duxue.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

duxue.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

duxue.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

dxyq.jiangnan.edu.cn. 4320 IN A 202.195.144.42

dxyq.jiangnan.edu.cn. 4319 IN A 202.195.144.42

dxyq.jiangnan.edu.cn. 4319 IN A 202.195.144.42

dxyq.jiangnan.edu.cn. 4319 IN A 202.195.144.42

e.jiangnan.edu.cn. 30 IN A 202.195.145.102

edp.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

edp.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

edp.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

edp.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

edp.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

education.jiangnan.edu.cn. 4320 IN A 202.195.144.106

english.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

english.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

english.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

english.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

english.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

epc.jiangnan.edu.cn. 4320 IN A 202.195.147.236

fgxk.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

fgxk.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

fgxk.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

fgxk.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

fgxk.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

foodsci.jiangnan.edu.cn. 2853 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

foodsci.jiangnan.edu.cn. 2852 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

foodsci.jiangnan.edu.cn. 2852 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

foodsci.jiangnan.edu.cn. 2852 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

foodsci.jiangnan.edu.cn. 2852 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

en.foodsci.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248

foreign.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

foreign.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

foreign.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

foreign.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

foreign.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

freshman.jiangnan.edu.cn. 4320 IN A 202.195.144.198

freshman.jiangnan.edu.cn. 4319 IN A 202.195.144.198

freshman.jiangnan.edu.cn. 4319 IN A 202.195.144.198

freshman.jiangnan.edu.cn. 4319 IN A 202.195.144.198

freshman.jiangnan.edu.cn. 4319 IN A 202.195.144.198

fse.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4316 IN A 202.195.147.249

fzxb.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

gmis.jiangnan.edu.cn. 4320 IN A 202.195.144.55

gmis.jiangnan.edu.cn. 4319 IN A 202.195.144.55

gmis.jiangnan.edu.cn. 4319 IN A 202.195.144.55

gmis.jiangnan.edu.cn. 4319 IN A 202.195.144.55

gmis.jiangnan.edu.cn. 4319 IN A 202.195.144.55

gonghui.jiangnan.edu.cn. 874 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

gs.jiangnan.edu.cn. 2906 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

gs.jiangnan.edu.cn. 2905 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

gs.jiangnan.edu.cn. 2905 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

gs.jiangnan.edu.cn. 2905 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

gs.jiangnan.edu.cn. 2905 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2905 IN A 202.195.147.248

guanai.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

guojiaochu.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

guojiaochu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

guojiaochu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

guojiaochu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

guojiaochu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

hg.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hire.jiangnan.edu.cn. 4320 IN CNAME imp.jiangnan.edu.cn.
imp.jiangnan.edu.cn. 4319 IN A 202.195.145.198

honorschool.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

honorschool.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

honorschool.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

honorschool.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

honorschool.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hq.jiangnan.edu.cn. 874 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

hq.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

hq.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

hq.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

hqc.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hqc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hqc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hqc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hqc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

hxhgsyzx.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

i.jiangnan.edu.cn. 2527 IN A 202.195.145.89

i.jiangnan.edu.cn. 2526 IN A 202.195.145.89

i.jiangnan.edu.cn. 2526 IN A 202.195.145.89

i.jiangnan.edu.cn. 2526 IN A 202.195.145.89

ihome.jiangnan.edu.cn. 4320 IN A 202.195.145.210

imp.jiangnan.edu.cn. 4319 IN A 202.195.145.198

iot.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

iot.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

iot.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

iot.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

iot.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

ireading.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

ireading.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

ireading.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

ireading.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

ireading.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

iyuba.jiangnan.edu.cn. 4320 IN A 202.195.144.110

iyuba.jiangnan.edu.cn. 4319 IN A 202.195.144.110

iyuba.jiangnan.edu.cn. 4319 IN A 202.195.144.110

iyuba.jiangnan.edu.cn. 4319 IN A 202.195.144.110

j-park.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

jcyxsyjxzx.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248

jdcy.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdcy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdcy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdcy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdcy.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdxgc.jiangnan.edu.cn. 874 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jdxgc.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jdxgc.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jdxgc.jiangnan.edu.cn. 873 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jdxl.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4315 IN A 202.195.147.249

jdxsg.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jdxsg.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jdxsg.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jdxsg.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jdxsg.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jiguan.jiangnan.edu.cn. 3655 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2903 IN A 202.195.147.248

jjjc.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jjjc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jjjc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jjjc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jjjc.jiangnan.edu.cn. 29 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248

jklab.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jnapp.jiangnan.edu.cn. 4320 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnapp.jiangnan.edu.cn. 4319 IN A 202.195.145.102

jnbwcx.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2904 IN A 202.195.147.249

jnddh.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249

jsb.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4314 IN A 202.195.147.249
