NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

bwch.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

bwch.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

bwch.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

caiwu.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

caiwu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

caiwu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

caiwu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

caiwu.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

ccprc.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

ccprc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

ccprc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

ccprc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

ccprc.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

cggl.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

chaxin.jiangnan.edu.cn. 4320 IN A 202.195.147.40

chem.jiangnan.edu.cn. 3659 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

chem.jiangnan.edu.cn. 3658 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

chem.jiangnan.edu.cn. 3658 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

chem.jiangnan.edu.cn. 3658 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

chem.jiangnan.edu.cn. 3658 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

cicim-cu.jiangnan.edu.cn. 3659 IN A 202.195.144.90

clgczx.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

clgczx.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

clgczx.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

clgczx.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

clgczx.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

cms.jiangnan.edu.cn. 4320 IN A 202.195.147.240

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 0 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 30 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cn. 29 IN A 220.250.64.225

admission.jiangnan.edu.cn<BR>mail.jiangnan.edu.cn<BR>www.jiangnan.edu.cnadmission.jiangnan.edu.cn. 0 IN A 220.250.64.225

mail.vip.jiangnan.edu.cnadmission.jiangnan.edu.cn. 0 IN A 220.250.64.225

xkjs.jiangnan.edu.cnapp.jiangnan.edu.cn. 0 IN A 220.250.64.225

www.jiangnan.edu.cndxyq.jiangnan.edu.cn. 0 IN A 220.250.64.225

jsb.jiangnan.edu.cni.jiangnan.edu.cn. 0 IN A 220.250.64.225

mg.jiangnan.edu.cnjnapp.jiangnan.edu.cn. 0 IN A 220.250.64.225

news.jiangnan.edu.cnjnapp.jiangnan.edu.cn. 0 IN A 220.250.64.225

hq.jiangnan.edu.cnlib.jiangnan.edu.cn. 0 IN A 220.250.64.225

mg.jiangnan.edu.cnmail.jiangnan.edu.cn. 0 IN A 220.250.64.225

ms.jiangnan.edu.cnmgw.jiangnan.edu.cn. 0 IN A 220.250.64.225

mail.vip.jiangnan.edu.cnms.jiangnan.edu.cn. 0 IN A 220.250.64.225

jdxgc.jiangnan.edu.cnsmart.jiangnan.edu.cn. 0 IN A 220.250.64.225

coe.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

colloids.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

colloids.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

colloids.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

colloids.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.248

colloids.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4317 IN A 202.195.147.249
