NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

532movie.bnu.edu.cn. 10800 IN A 172.16.215.40
cgd.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

chanye.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

chbtan.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ecc.chem.bnu.edu.cn. 10800 IN A 219.224.31.18

www.chem.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

www.chem.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

chem1.bnu.edu.cn. 10800 IN A 219.224.19.39

chem1.bnu.edu.cn. 7199 IN A 219.224.19.39

www.chemold.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

child.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

chinaiid.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

chinaiid.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

chinese.bnu.edu.cn. 10800 IN CNAME plesk3.bnu.edu.cn.
plesk3.bnu.edu.cn. 7199 IN A 219.224.19.70

www.ciae.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cicabeq.bnu.edu.cn. 10800 IN A 114.255.220.35

cicabeq.bnu.edu.cn. 7199 IN A 114.255.220.35

ciccsv.bnu.edu.cn. 10800 IN A 219.224.19.82

www.ciee.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6432 IN A 60.247.18.6

www.ciee.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6432 IN A 60.247.18.6

cist.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cist.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cit.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cit.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cjc.bnu.edu.cn. 10800 IN A 219.224.31.56

climatemodeling.bnu.edu.cn. 10800 IN A 219.224.31.22

cls.bnu.edu.cn. 10800 IN CNAME www.cls.bnu.edu.cn.
www.cls.bnu.edu.cn. 7199 IN A 59.64.36.40

cls.bnu.edu.cn. 7199 IN CNAME www.cls.bnu.edu.cn.
www.cls.bnu.edu.cn. 7199 IN A 59.64.36.40

www.cls.bnu.edu.cn. 7199 IN A 59.64.36.40

www.cls.bnu.edu.cn. 7199 IN A 59.64.36.40

cmb.bnu.edu.cn. 10800 IN A 219.224.31.6

cmooc.bnu.edu.cn. 7660 IN A 219.224.25.25

cmooc.bnu.edu.cn. 7199 IN A 219.224.25.25

cmooc.bnu.edu.cn. 7199 IN A 219.224.25.25

cmooc.bnu.edu.cn. 7199 IN A 219.224.25.25

cms2012.bnu.edu.cn. 6432 IN A 60.247.18.6

cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cms2014.bnu.edu.cn. 4411 IN A 60.247.18.9

cnc2049.bnu.edu.cn. 10800 IN A 219.224.19.140

www.igpr.bnu.edu.cnencicabeq.bnu.edu.cn. 3600 IN A 220.250.64.225

gtt.bnu.edu.cngtes.bnu.edu.cn. 3600 IN A 220.250.64.225

www.bnu.edu.cngtes.bnu.edu.cn. 3600 IN A 220.250.64.225

cas.bnu.edu.cnhelab.bnu.edu.cn. 3600 IN A 220.250.64.225

web.sne.bnu.edu.cnigpr.bnu.edu.cn. 3600 IN A 220.250.64.225

kg.bnu.edu.cnns2.bnu.edu.cn. 3600 IN A 220.250.64.225

ksei.bnu.edu.cnocia.bnu.edu.cn. 0 IN A 220.250.64.225

lenp.bnu.edu.cnphysics.bnu.edu.cn. 3600 IN A 220.250.64.225

cogs.bnu.edu.cn. 10800 IN A 219.224.19.80

cogs.bnu.edu.cn. 7199 IN A 219.224.19.80

course.bnu.edu.cn. 10800 IN A 59.64.36.18

cpt.bnu.edu.cn. 10800 IN A 219.224.31.16

cpxy.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4410 IN A 60.247.18.9

crs.bnu.edu.cn. 10800 IN A 114.255.219.132

csvc.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4410 IN A 60.247.18.9

ctccs.bnu.edu.cn. 10800 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

cter.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4410 IN A 60.247.18.9

cter.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4410 IN A 60.247.18.9

culture.bnu.edu.cn. 10800 IN A 219.224.19.189

cws.bnu.edu.cn. 10800 IN A 59.64.36.55

cws.bnu.edu.cn. 7199 IN A 59.64.36.55

cws.bnu.edu.cn. 7199 IN A 59.64.36.55

dangan.bnu.edu.cn. 60 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 59 IN A 60.247.18.9

dangan.bnu.edu.cn. 59 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 59 IN A 60.247.18.9

db.bnu.edu.cn. 10800 IN A 219.224.19.97

dmft.bnu.edu.cn. 10800 IN A 219.224.31.14

dwxgb.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

dwxgb.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

dxsyst.bnu.edu.cn. 10800 IN CNAME pleskold1.bnu.edu.cn.
pleskold1.bnu.edu.cn. 7199 IN A 219.224.19.49

dxwl.bnu.edu.cn. 10800 IN A 219.224.19.113

dxwl.bnu.edu.cn. 7199 IN A 219.224.19.113

ecard.bnu.edu.cn. 10800 IN CNAME mcard.bnu.edu.cn.
mcard.bnu.edu.cn. 7199 IN A 114.255.220.46

ecohat.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

ecology.bnu.edu.cn. 10800 IN A 202.112.87.15

email.bnu.edu.cn. 60 IN A 219.142.121.58

email.bnu.edu.cn. 59 IN A 219.142.121.58

email.bnu.edu.cn. 59 IN A 219.142.121.58

email.bnu.edu.cn. 59 IN A 219.142.121.58

email.bnu.edu.cn. 59 IN A 219.142.121.58

emi.bnu.edu.cn. 10800 IN A 219.224.19.157

emi.bnu.edu.cn. 7199 IN A 219.224.19.157

emi.bnu.edu.cn. 7199 IN A 219.224.19.157

encicabeq.bnu.edu.cn. 10800 IN A 114.255.220.35

english.bnu.edu.cn. 10800 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6565 IN A 60.247.18.7

english.bnu.edu.cn. 7199 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6565 IN A 60.247.18.7

english.bnu.edu.cn. 7199 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6565 IN A 60.247.18.7

english.bnu.edu.cn. 7199 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6565 IN A 60.247.18.7

art.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6430 IN A 60.247.18.6

bnuk.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

business.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

fe.english.bnu.edu.cn. 10800 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.english.bnu.edu.cn. 7199 IN CNAME fe.bnu.edu.cn.
fe.bnu.edu.cn. 7199 IN A 219.224.19.62

foreignlang.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

geo.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

international.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

lifescience.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

math.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

resource.english.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

englishold.bnu.edu.cn. 10800 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 2909 IN A 60.247.18.7

env.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4409 IN A 60.247.18.9

env.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4409 IN A 60.247.18.9

envfaculty.bnu.edu.cn. 10800 IN A 219.224.19.80

envsci.bnu.edu.cn. 10800 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

eps.bnu.edu.cn. 10800 IN A 210.31.75.101

eng.eps.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

gedc.eps.bnu.edu.cn. 10800 IN A 114.255.220.42

gedc.eps.bnu.edu.cn. 7199 IN A 114.255.220.42

www.eps.bnu.edu.cn. 10800 IN A 219.143.237.167

www.eps.bnu.edu.cn. 7199 IN A 219.143.237.167

epsy-lab.bnu.edu.cn. 10800 IN A 59.64.36.2

epsy-lab.bnu.edu.cn. 7199 IN A 59.64.36.2

epsy-owmlab.bnu.edu.cn. 10800 IN A 59.64.36.3

ers.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4408 IN A 60.247.18.9

esg.bnu.edu.cn. 10800 IN A 219.224.31.22

fd.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6429 IN A 60.247.18.6

fdy.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6429 IN A 60.247.18.6

fdy.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6429 IN A 60.247.18.6

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

fe.bnu.edu.cn. 7199 IN A 219.224.19.62

www.fea.bnu.edu.cn. 10800 IN A 60.247.18.11

www.fea.bnu.edu.cn. 7199 IN A 60.247.18.11

fnirs.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6429 IN A 60.247.18.6

freshman.bnu.edu.cn. 10800 IN A 219.224.19.149

fzghc.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

gallery.bnu.edu.cn. 10800 IN CNAME plesk4.bnu.edu.cn.
plesk4.bnu.edu.cn. 7199 IN A 219.224.19.87

gallery.bnu.edu.cn. 7199 IN CNAME plesk4.bnu.edu.cn.
plesk4.bnu.edu.cn. 7199 IN A 219.224.19.87

gccil2019.bnu.edu.cn. 10800 IN A 219.224.19.70

gcess.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

